P55735 P55735
Q6QNY1 Q9NWB7
Q9NWB7 Q6QNY1
Q9NWB7 Q6QNY1
Q96P48 O00220
Q96P48 O00220
Q96P48 O00220
Q96P48 O14763
Q5TAX3-1 Q96CG3
Q96CG3 Q5TAX3-1
Q9Y6K9 Q8NFZ5
Q9Y6K9 Q8NFZ5
Q8NFZ5 Q9Y6K9
Q9Y6K9 Q13546
Q8NFZ5 P19838-1
P41279 Q8NFZ5
Q8NFZ5 P41279
P19838-1 Q8NFZ5
Q8NFZ5 P41279
Q8NFZ5 P19838-1
P41279 Q8NFZ5
Q8NFZ5 P19838-1
Q8NFZ5 P41279
P21580 Q8NFZ5
Q8NFZ5 Q15831
Q8NFZ5 Q15831
Q8NFZ5 Q15831
Q8NFZ5 Q15831
Q9UBK9 Q04206
Q9UBK9 Q04206
Q9UBK9 Q04206
Q9UBK9 Q04206
Q04206 Q9UBK9
P04637 Q05397
P04637 Q05397
Q05397 P04637
Q05397 P04637
P04637 Q05397
P04637 Q05397
Q05397 P04637
Q05397 P04637
Q05397 P04637
P10275 Q06830
Q06830 P10275
Q06830 P10275
Q9H2D6-5 Q9H2D6-5
Q9H2D6-5 P54274
P42224 P52630
Q09472 P48551
Q09472 P17181
P48551 Q92793
Q00978 P48551
P52630 P48551
Q00978 P48551
Q00978 Q00978
P42224 P52630
Q00978 P52630
Q92793 P48551
P52630 P48551
Q00978 P48551
Q00978 P52630
Q00978 P48551
P42224 P52630
Q00978 P52630
P40763 P52630
Q00978 P48551
Q92793 P48551
Q9Y2A7 Q7L576
Q9Y2A7 Q7L576
O43933 Q13608
Q13608 O43933
P23025 P07992
P23025 O15446
P23025 Q9HCN4
Q9HCN4 P23025
P26358 Q96T88
P26358 Q96T88
P19338 O15084
Q8N668 Q8N668
Q8N668 Q86X83
Q8N668 Q9UBI1
Q9H0A8 Q8N668
Q9GZQ3 Q8N668
Q7Z4G1 Q8N668
Q86VX2 Q8N668
Q9NX08 Q8N668
Q9Y6G5 Q8N668
Q8N668 Q04206
Q8N668 Q04864
Q01201 Q8N668
P19838-2 Q8N668
Q8N668 D3DR86
Q8N668 Q8N668
Q8N668 Q9UBI1
Q04206 Q8N668
Q00765 Q6P1Q0
Q00765 Q6P1Q0
Q00765 Q6P1Q0
Q9Y3V2 P63279
Q9Y3V2 P63279
P22314 P63279
P22314 P63279
P63165 Q9Y3V2
P63165 Q9Y3V2
P25963 Q9Y3V2
Q16665 Q9Y3V2
O60218 Q13085
Q13085 O60218
O60218 Q13085
O00506 Q9BUL8
Q9BUL8 Q9Y6E0
Q9BUL8 Q12923
Q9BSQ5 Q9BUL8
Q9BUL8 O00506
Q12923-4 Q9BUL8
O00506 Q12923-4
Q9BSQ5 Q9BUL8
Q9BSQ5 O00522
Q9BSQ5 Q9BUL8
O00522 Q9BSQ5
O00506 Q9BSQ5
Q15849-1 O95295
Q15849-1 O95295
Q15849-1 O95295
Q15849-1 O95295
Q15849-1 O95295
P04049 P11021
P11021 P04049
P04049 P11021
Q9BZW8 P09326
Q9BZW8 P09326
Q96A54 Q96A54
P08670 P08670
Q96A54 Q9UKG1
Q96A54 Q96A54
Q86V24 Q9UKG1
Q96A54 Q9UKG1
P08670 P08670
Q96A54 Q9UKG1
Q96A54 Q9UKG1
Q9UKG1 Q86V24
Q96A54 Q9UKG1
Q86V24 Q9UKG1
Q96A54 Q96A54
P08670 P08670
Q96A54 Q9UKG1
P20711 P10275
O14976 P10275
P20711 P10275
P13647 P18054
P18054 P02545
P18054 P16144
Q96RU8 P18054
P18054 P16144
P18054 P13647
Q96RU8 P18054
P02545 P18054
P13647 P18054
P18054 P13647
P13647 P18054
P13647 P18054
P02545 P18054
P18054 P02545
P27348 P49407
P49407 Q15208
P49407 O75688
P35813 P49407
Q13523 P49407
P49407 P11142
P49407 O95218
P49407 Q14978
P62158 P49407
P49407 P06702
P49407 Q13428
P19338 P49407
P06396 P49407
P49407 P14618
P27348 P32121
Q15208 P32121
O75688 P32121
P35813 P32121
Q13523 P32121
P32121 P11142
O95218 P32121
P32121 Q14978
P62158 P32121
P32121 P06702
Q13428 P32121
P32121 P19338
P06396 P32121
P32121 P14618
P27348 P49407
P49407 O75688
P35813 P49407
P49407 P11142
Q13523 P49407
P49407 O95218
P27348 P32121
Q13523 P32121
P32121 P11142
O95218 P32121
P32121 P14618
Q9BXW9 P51587
Q9BXW9 P51587
Q9BXW9 P51587
P51587 Q9BXW9
Q9BXW9 P51587
P51587 Q9BXW9
P51587 Q9BXW9
Q9BXW9 P51587
P51587 Q9BXW9
P51587 Q9BXW9
Q9BXW9-2 P51587
P51587 Q9BXW9
P51587 Q9BXW9-2
P51587 Q9BXW9-2
P51587 Q9BXW9
P18847 P18847
Q14192 P18847
Q02535 P18847
P18848 Q9UDV6
Q02535 O75175
P41240 Q02535
Q14192 Q92785
P18847 Q14192
P41240 Q14192
Q14192 Q92785
Q9UHR5 Q14192
Q14192 Q02535
Q9UHX1 Q14192
Q14192 P40763
Q9NQX6 Q14192
Q14192 Q9H9D4
Q68DY1 Q14192
Q9H2S9 Q14192
Q6FHM2 Q02535
P36915 P31150
P36915 Q93096
Q9UHR5 Q9UHX1
Q14192 Q14192
Q02535 Q02535
P25963 P18848
Q8TBX8 Q8TBX8
Q70SY1 Q93096
Q14192 Q99623
Q92730 Q70SY1
Q02535 Q92730
Q9UHX1 Q9UHR5
Q02535 Q9UHX1
Q9UHR5 Q9UH92
Q9UH92 Q02535
Q9UDV6 P18847
Q70SY1 Q9UDV6
P41240 Q9UDV6
Q92785 Q9UDV6
Q16828 Q9UDV6
Q14192 Q9UDV6
Q9UDV6 P36915
O60381 Q9UDV6
Q9UHR5 Q9UDV6
Q9UDV6 P25963
Q93096 Q9UDV6
Q9UDV6 Q8TAU0
Q92730 Q9UDV6
Q9UDV6 Q9UDV6
Q9UDV6 P17036
Q9NQX6 Q9UDV6
Q9UDV6 Q9H9D4
P17036 Q14192
Q02535 P17036
Q9UDV6 P17036
P17036 P17036
Q9NQX6 Q14192
Q9H9D4 Q14192
Q9UHR5 Q9H9D4
Q9H9D4 Q9NQX6
Q9H9D4 Q02535
Q9H9D4 Q9H9D4
Q02535 Q68DY1
Q14192 Q9H2S9
P25963 Q9H2S9
Q8TBX8 Q8TBX8
P17036 P17036
Q9UDV6 P17036
P18847 P18847
P17036 Q9UDV6
Q9H9D4 Q9H9D4
Q9UDV6 Q9UDV6
Q14192 Q9H9D4
P18847 Q14192
Q14192 Q14192
Q9UHX1 Q9UHR5
Q09472 Q9Y6Q9
P42771 P12004
P12004 P42771
P42771 Q14566
P42771 P12004
Q14566 P42771
P42771 P12004
P04049 Q02750
Q04917 P04049
Q9Y215 P22303
P22303 Q9Y215
Q7L0Q8 Q13153-2
O43639 Q7L0Q8
O43639 Q7L0Q8
P31785 P05112
P31785 P24394
P78552 P05112
P78552 P24394
P78552 P35225
P78552 P24394
P78552 P35225
P78552 P05112
P31785 P05112
P31785 P24394
P78552 P05112
P78552 P24394
P78552 P35225
P78552 P24394
P24394 P05112
P78552 P35225
Q8IWJ2 P20340
Q8IWJ2 P40616
Q8IWJ2 P20340
Q8IWJ2 P20340
Q8IWJ2 Q8IWJ2
Q8IWJ2 Q8IWJ2
Q8IWJ2 P20340
P33981 Q53HL2
Q86UE4 Q04206
Q86UE4 Q92793
Q86UE4 Q92793
P25815 Q15109
Q15109 P25815
